,filename,box1_row,box1_col,box2_row,box2_col
0,Dog-Train (157).jpg,103,159,97,81
1,Dog-Train (33).jpeg,77,168,31,16
2,Dog-Train (512).jpeg,49,61,39,82
3,Dog-Train (174).jpg,55,168,84,22
4,Dog-Train (502).jpeg,57,142,8,26
5,Dog-Train (1130).jpeg,59,128,124,125
6,Dog-Train (384).jpeg,53,153,154,62
7,Dog-Train (962).jpeg,109,149,51,59
8,Dog-Train (179).jpg,179,157,111,4
9,Dog-Train (742).jpeg,128,43,14,66
10,Dog-Train (454).jpeg,38,60,145,32
11,Dog-Train (1643).jpeg,58,156,146,121
12,Dog-Train (239).jpeg,56,52,158,46
13,Dog-Train (393).jpeg,149,107,128,164
14,Dog-Train (19).jpeg,55,153,52,103
15,Dog-Train (96).jpg,19,136,84,140
16,Dog-Train (774).jpeg,34,29,60,160
17,Dog-Train (63).jpeg,84,149,89,31
18,Dog-Train (679).jpeg,163,122,23,156
19,Dog-Train (1112).jpeg,17,64,160,137
20,Dog-Train (148).jpeg,70,74,31,137
21,Dog-Train (627).jpeg,166,160,1,141
22,Dog-Train (1672).jpeg,145,16,31,73
23,Dog-Train (1616).jpeg,107,82,76,24
24,Dog-Train (1322).jpeg,116,14,63,15
25,Dog-Train (920).jpeg,126,22,136,62
26,Dog-Train (1780).jpeg,50,104,122,100
27,Dog-Train (262).jpeg,149,44,32,112
28,Dog-Train (20).jpeg,52,23,173,96
29,Dog-Train (74).jpg,170,147,107,60
30,Dog-Train (597).jpeg,15,168,46,84
31,Dog-Train (1085).jpeg,129,14,0,24
32,Dog-Train (1534).jpeg,144,175,56,140
33,Dog-Train (128).jpeg,107,58,155,179
34,Dog-Train (802).jpeg,57,139,72,101
35,Dog-Train (20).jpg,147,72,23,161
36,Dog-Train (1057).jpeg,123,136,178,123
37,Dog-Train (1545).jpeg,26,22,134,160
38,Dog-Train (99).jpeg,137,123,85,33
39,Dog-Train (1368).jpeg,9,18,126,12
40,Dog-Train (843).jpeg,11,150,26,21
41,Dog-Train (1039).jpeg,122,56,138,41
42,Dog-Train (38).jpg,113,157,42,114
43,Dog-Train (463).jpeg,20,35,161,28
44,Dog-Train (45).jpg,59,1,58,51
45,Dog-Train (823).jpeg,42,100,138,177
46,Dog-Train (116).jpg,121,178,143,93
47,Dog-Train (213).jpeg,149,134,27,179
48,Dog-Train (1158).jpeg,69,161,102,11
49,Dog-Train (841).jpeg,40,162,74,22
50,Dog-Train (61).jpg,151,101,9,144
51,Dog-Train (537).jpeg,12,94,178,45
52,Dog-Train (91).jpg,50,96,89,93
53,Dog-Train (1796).jpeg,92,147,2,176
54,Dog-Train (1611).jpeg,30,120,120,22
55,Dog-Train (1461).jpeg,102,84,24,53
56,Dog-Train (940).jpeg,48,97,178,166
57,Dog-Train (1027).jpeg,2,20,157,36
58,Dog-Train (419).jpeg,40,165,171,6
59,Dog-Train (698).jpeg,6,6,147,165
60,Dog-Train (1064).jpeg,66,79,40,59
61,Dog-Train (1744).jpeg,69,173,110,165
62,Dog-Train (618).jpeg,25,175,139,175
63,Dog-Train (1554).jpeg,39,138,38,143
64,Dog-Train (160).jpg,162,151,24,83
65,Dog-Train (168).jpeg,68,29,32,128
66,Dog-Train (994).jpeg,0,160,51,142
67,Dog-Train (1086).jpeg,161,112,62,137
68,Dog-Train (1741).jpeg,13,134,44,55
69,Dog-Train (396).jpeg,63,61,108,137
70,Dog-Train (306).jpeg,83,61,175,141
71,Dog-Train (84).jpg,162,164,106,166
72,Dog-Train (748).jpeg,132,173,28,56
73,Dog-Train (1222).jpeg,28,79,170,87
74,Dog-Train (938).jpeg,170,148,53,78
75,Dog-Train (44).jpeg,92,52,102,137
76,Dog-Train (178).jpg,120,29,47,169
77,Dog-Train (1120).jpeg,79,170,22,65
78,Dog-Train (1378).jpeg,66,172,24,21
79,Dog-Train (67).jpg,86,53,86,135
80,Dog-Train (1392).jpeg,47,167,15,60
81,Dog-Train (750).jpeg,162,135,77,42
82,Dog-Train (364).jpeg,141,34,129,119
83,Dog-Train (1747).jpeg,118,35,62,156
84,Dog-Train (1779).jpeg,47,116,13,149
85,Dog-Train (190).jpg,122,38,135,114
86,Dog-Train (1302).jpeg,169,33,72,72
87,Dog-Train (902).jpeg,104,106,68,121
88,Dog-Train (1350).jpeg,136,121,142,140
89,Dog-Train (247).jpeg,160,101,126,28
90,Dog-Train (1162).jpeg,69,65,45,179
91,Dog-Train (822).jpeg,173,79,136,116
92,Dog-Train (357).jpeg,124,95,94,56
93,Dog-Train (197).jpg,136,38,174,36
94,Dog-Train (1340).jpeg,9,37,161,17
95,Dog-Train (1124).jpeg,160,60,43,143
96,Dog-Train (12).jpg,125,7,143,62
97,Dog-Train (33).jpg,13,29,11,17
98,Dog-Train (461).jpeg,110,137,121,21
99,Dog-Train (154).jpg,111,127,59,59
100,Dog-Train (1472).jpeg,177,168,24,13
101,Dog-Train (73).jpg,105,52,59,100
102,Dog-Train (4).jpeg,168,83,21,116
103,Dog-Train (733).jpeg,114,141,120,122
104,Dog-Train (788).jpeg,13,86,80,54
105,Dog-Train (523).jpeg,12,136,148,52
106,Dog-Train (1104).jpeg,77,67,77,148
107,Dog-Train (541).jpeg,127,110,45,100
108,Dog-Train (1189).jpeg,160,36,26,33
109,Dog-Train (807).jpeg,119,124,142,45
110,Dog-Train (265).jpeg,169,53,166,91
111,Dog-Train (605).jpeg,23,48,126,172
112,Dog-Train (1328).jpeg,129,46,85,177
113,Dog-Train (245).jpeg,105,15,82,174
114,Dog-Train (1773).jpeg,168,39,124,153
115,Dog-Train (492).jpeg,50,39,70,40
116,Dog-Train (646).jpeg,110,8,79,179
