,filename,box1_row,box1_col,box2_row,box2_col
0,Elephant-Train (871).jpeg,89,11,161,49
1,Elephant-Train (1330).jpeg,174,31,110,14
2,Elephant-Train (350).jpeg,124,99,11,95
3,Elephant-Train (1617).jpeg,70,128,105,132
4,Elephant-Train (412).jpeg,65,144,174,13
5,Elephant-Train (1878).jpeg,31,129,90,138
6,Elephant-Train (511).jpeg,139,158,116,119
7,Elephant-Train (992).jpeg,178,165,27,35
8,Elephant-Train (1607).jpeg,72,64,60,27
9,Elephant-Train (958).jpeg,125,66,157,155
10,Elephant-Train (416).jpeg,14,59,175,149
11,Elephant-Train (521).jpeg,158,43,151,58
12,Elephant-Train (1486).jpeg,137,117,82,106
13,Elephant-Train (1768).jpeg,44,30,106,9
14,Elephant-Train (690).jpeg,132,82,4,116
15,Elephant-Train (227).jpeg,41,19,8,11
16,Elephant-Train (994).jpeg,51,7,90,83
17,Elephant-Train (1740).jpeg,168,157,53,57
18,Elephant-Train (1105).jpeg,7,134,54,13
19,Elephant-Train (890).jpeg,52,47,76,35
20,Elephant-Train (518).jpeg,160,178,178,24
21,Elephant-Train (914).jpeg,30,8,119,64
22,Elephant-Train (1851).jpeg,53,151,166,178
23,Elephant-Train (1360).jpeg,58,39,37,153
24,Elephant-Train (1688).jpeg,71,151,140,44
25,Elephant-Train (1065).jpeg,156,96,75,165
26,Elephant-Train (106).jpeg,159,109,136,39
27,Elephant-Train (1496).jpeg,66,105,134,46
28,Elephant-Train (1784).jpeg,166,44,177,161
29,Elephant-Train (586).jpeg,3,46,97,178
30,Elephant-Train (317).jpeg,106,53,98,114
31,Elephant-Train (310).jpeg,173,59,166,144
32,Elephant-Train (664).jpeg,3,59,54,56
33,Elephant-Train (409).jpeg,82,10,117,78
34,Elephant-Train (487).jpeg,115,179,5,33
35,Elephant-Train (776).jpeg,74,81,53,93
36,Elephant-Train (1896).jpeg,14,41,145,8
37,Elephant-Train (371).jpeg,103,78,8,165
38,Elephant-Train (552).jpeg,36,158,129,179
39,Elephant-Train (494).jpeg,112,83,109,148
40,Elephant-Train (1204).jpeg,132,51,164,14
41,Elephant-Train (128).jpeg,36,133,43,93
42,Elephant-Train (1560).jpeg,159,41,106,44
43,Elephant-Train (454).jpeg,33,63,94,2
44,Elephant-Train (1285).jpeg,2,9,77,21
45,Elephant-Train (753).jpeg,73,37,26,64
46,Elephant-Train (1822).jpeg,69,76,16,109
47,Elephant-Train (204).jpeg,37,127,174,95
48,Elephant-Train (1053).jpeg,95,16,15,12
49,Elephant-Train (1417).jpeg,49,73,100,97
50,Elephant-Train (1348).jpeg,56,26,171,100
51,Elephant-Train (1109).jpeg,56,156,148,31
