,filename,box1_row,box1_col,box2_row,box2_col
0,Tiger (648).jpeg,169,127,83,49
1,Tiger (1466).jpeg,14,111,157,170
2,Tiger (635).jpeg,16,17,31,119
3,Tiger (1351).jpeg,143,24,174,65
4,Tiger (849).jpeg,111,178,121,42
5,Tiger (1178).jpeg,141,139,0,101
6,Tiger (1578).jpeg,91,133,98,101
7,Tiger (557).jpeg,172,103,163,8
8,Tiger (1164).jpeg,166,38,16,103
9,Tiger (1839).jpeg,158,48,79,122
10,Tiger (709).jpeg,83,115,75,33
11,Tiger (2069).jpeg,155,109,141,104
12,Tiger (1526).jpeg,141,149,35,129
13,Tiger (1898).jpeg,79,74,90,123
14,Tiger (368).jpeg,57,54,59,2
15,Tiger (947).jpeg,97,55,121,140
16,Tiger (798).jpeg,7,146,139,176
17,Tiger (1248).jpeg,53,42,160,48
18,Tiger (1207).jpeg,105,85,80,104
19,Tiger (1102).jpeg,30,126,42,0
20,Tiger (1855).jpeg,148,118,147,107
21,Tiger (2094).jpeg,77,65,13,92
22,Tiger (871).jpeg,143,144,79,138
23,Tiger (1564).jpeg,40,107,49,118
24,Tiger (1923).jpeg,95,127,176,129
25,Tiger (2075).jpeg,148,144,129,140
26,Tiger (356).jpeg,130,6,66,126
27,Tiger (899).jpeg,152,29,57,87
28,Tiger (797).jpeg,115,25,106,83
29,Tiger (381).jpeg,164,130,63,16
30,Tiger (1407).jpeg,124,107,127,11
31,Tiger (2297).jpeg,159,16,1,41
32,Tiger (1635).jpeg,117,115,173,12
33,Tiger (2323).jpeg,147,151,75,133
34,Tiger (770).jpeg,27,8,125,36
35,Tiger (471).jpeg,38,35,30,103
36,Tiger (1110).jpeg,92,130,171,20
37,Tiger (670).jpeg,106,161,15,162
38,Tiger (533).jpeg,96,90,175,58
39,Tiger (1875).jpeg,64,166,75,56
40,Tiger (2126).jpeg,80,68,8,171
41,Tiger (2257).jpeg,48,173,97,34
42,Tiger (893).jpeg,150,79,2,70
43,Tiger (1429).jpeg,121,128,7,39
44,Tiger (547).jpeg,43,163,175,48
45,Tiger (985).jpeg,13,34,138,164
46,Tiger (1426).jpeg,57,67,68,112
47,Tiger (1727).jpeg,85,65,180,68
48,Tiger (976).jpeg,0,135,95,154
49,Tiger (961).jpeg,175,6,101,26
50,Tiger (1821).jpeg,12,163,60,108
